Advisor Name,Experience (Years),Profession,Certifications,Region,Rating (Out of 5)
Aditya Tiwari,30,Investment Advisor,CPA,Tripura,3.8
Sai Gupta,30,Chartered Accountant,"SEBI RIA, CA",Tripura,4.9
Kiara Patel,15,Tax Consultant,"CFP, SEBI RIA",Tripura,3.6
Vihaan Nambiar,29,Tax Consultant,FRM,Tripura,4.0
Ayaan Verma,10,Chartered Accountant,CA,Tripura,4.7
Reyansh Kulkarni,5,Chartered Accountant,"FRM, SEBI RIA",Uttar Pradesh,3.4
Reyansh Reddy,12,Investment Advisor,"SEBI RIA, FRM",Uttar Pradesh,4.5
Kiara Verma,8,Investment Advisor,"SEBI RIA, FRM",Uttar Pradesh,3.2
Aarohi Malhotra,5,Investment Advisor,CA,Uttar Pradesh,4.4
Diya Joshi,13,Wealth Manager,"CA, CPA",Uttar Pradesh,4.9
Pari Kulkarni,4,Wealth Manager,"CA, SEBI RIA",Uttar Pradesh,3.0
Reyansh Nair,24,Tax Consultant,"CFP, CFA",Uttar Pradesh,4.5
Aarav Nambiar,13,Chartered Accountant,"CFA, CPA",Uttar Pradesh,4.8
Myra Gupta,12,Tax Consultant,"CFA, CFP",Uttar Pradesh,4.7
Diya Saxena,21,Investment Advisor,FRM,Uttar Pradesh,3.7
Ayaan Chowdhury,14,Chartered Accountant,"CFP, CPA",Uttar Pradesh,3.4
Anaya Patel,25,Financial Planner,"CA, FRM",Uttar Pradesh,3.1
Avni Bansal,17,Tax Consultant,"SEBI RIA, FRM",Uttar Pradesh,4.8
Anaya Kapoor,3,Chartered Accountant,"CA, SEBI RIA",Uttar Pradesh,3.5
Saanvi Bansal,21,Investment Advisor,CFA,Uttar Pradesh,3.9
Aarav Sharma,1,Investment Advisor,CFP,Uttar Pradesh,3.3
Ishaan Nambiar,2,Wealth Manager,CPA,Uttar Pradesh,4.6
Reyansh Patel,26,Investment Advisor,"FRM, CFA",Uttar Pradesh,4.9
Aadhya Sharma,29,Wealth Manager,"CPA, CFP",Uttar Pradesh,4.0
Krishna Desai,9,Financial Planner,CFP,Uttar Pradesh,3.7
Reyansh Tiwari,11,Financial Planner,"CFA, CA",Uttar Pradesh,4.5
Aadhya Bansal,21,Wealth Manager,FRM,Uttar Pradesh,4.0
Meera Joshi,20,Tax Consultant,"CA, FRM",Uttar Pradesh,3.9
Vivaan Iyer,4,Financial Planner,"CPA, FRM",Uttar Pradesh,3.1
Aarav Desai,5,Chartered Accountant,CFP,Uttar Pradesh,4.8
Sai Malhotra,1,Wealth Manager,"SEBI RIA, CFA",Uttar Pradesh,4.6
Arjun Saxena,3,Wealth Manager,CFP,Uttar Pradesh,4.1
Myra Bansal,30,Investment Advisor,"FRM, CFA",Uttar Pradesh,3.8
Pari Bansal,22,Investment Advisor,"CPA, FRM",Uttar Pradesh,3.6
Anaya Iyer,24,Tax Consultant,"FRM, CPA",Uttar Pradesh,4.8
Aarohi Rao,9,Wealth Manager,CFP,Uttarakhand,3.4
Vihaan Rao,6,Investment Advisor,CFA,Uttarakhand,4.9
Aarohi Kulkarni,14,Chartered Accountant,"CFA, CPA",Uttarakhand,4.6
Ishaan Mehta,4,Chartered Accountant,"FRM, CA",Uttarakhand,4.8
Pari Rao,23,Wealth Manager,SEBI RIA,Uttarakhand,4.7
Myra Nair,27,Investment Advisor,"CFA, SEBI RIA",Uttarakhand,4.9
Meera Malhotra,26,Chartered Accountant,"SEBI RIA, CPA",Uttarakhand,4.0
Meera Gupta,6,Investment Advisor,"CFP, FRM",Uttarakhand,3.5
Pari Malhotra,29,Tax Consultant,SEBI RIA,Uttarakhand,4.1
Aarohi Saxena,27,Tax Consultant,"CFP, SEBI RIA",Uttarakhand,3.6
Aarav Kapoor,1,Investment Advisor,CFA,Uttarakhand,4.8
Aditya Verma,30,Investment Advisor,"CPA, SEBI RIA",Uttarakhand,4.0
Krishna Nair,27,Tax Consultant,"CA, FRM",Uttarakhand,4.4
Krishna Malhotra,23,Investment Advisor,FRM,Uttarakhand,4.6
Avni Gupta,2,Investment Advisor,"SEBI RIA, CA",Uttarakhand,3.5
Anaya Rao,1,Financial Planner,CA,Uttarakhand,3.9
Diya Sharma,20,Investment Advisor,CFP,Uttarakhand,4.4
Ishaan Kulkarni,14,Chartered Accountant,"SEBI RIA, CA",Uttarakhand,3.3
Reyansh Chowdhury,26,Tax Consultant,FRM,Uttarakhand,4.7
Aarav Iyer,5,Wealth Manager,CFP,Uttarakhand,3.6
Vivaan Verma,21,Chartered Accountant,SEBI RIA,Uttarakhand,3.8
Saanvi Desai,5,Investment Advisor,"CFA, CFP",Uttarakhand,4.3
Aarav Malhotra,25,Investment Advisor,"FRM, CFP",Uttarakhand,4.9
Vivaan Kulkarni,8,Tax Consultant,"CA, FRM",Uttarakhand,4.7
Ayaan Kulkarni,15,Chartered Accountant,"FRM, CFP",Uttarakhand,3.3
Aadhya Saxena,17,Tax Consultant,CFP,Uttarakhand,3.2
Reyansh Malhotra,21,Tax Consultant,"CFP, CPA",Uttarakhand,3.6
Vivaan Chowdhury,4,Tax Consultant,CA,Uttarakhand,4.5
Krishna Iyer,4,Investment Advisor,"FRM, CPA",Uttarakhand,4.7
Ayaan Sharma,21,Wealth Manager,"FRM, CA",Uttarakhand,3.4
Aarav Mehta,10,Wealth Manager,FRM,West Bengal,4.3
Aditya Agarwal,21,Chartered Accountant,"CA, FRM",West Bengal,4.8
Myra Kapoor,14,Tax Consultant,"CPA, FRM",West Bengal,4.1
Kiara Kapoor,27,Wealth Manager,CFA,West Bengal,3.8
Kiara Joshi,23,Chartered Accountant,CPA,West Bengal,4.5
Ayaan Kapoor,5,Wealth Manager,"CA, SEBI RIA",West Bengal,4.3
Arjun Joshi,7,Financial Planner,"CFP, SEBI RIA",West Bengal,4.4
Avni Malhotra,28,Investment Advisor,SEBI RIA,West Bengal,4.1
Aarohi Reddy,14,Chartered Accountant,CFP,West Bengal,4.7
Avni Nair,13,Financial Planner,SEBI RIA,West Bengal,3.3
Sai Bansal,26,Chartered Accountant,CA,West Bengal,3.2
Aditya Reddy,25,Tax Consultant,"CPA, SEBI RIA",West Bengal,3.7
Avni Mehta,30,Tax Consultant,"CFP, FRM",West Bengal,4.1
Ayaan Joshi,18,Tax Consultant,"SEBI RIA, CA",West Bengal,4.2
Reyansh Verma,30,Tax Consultant,CPA,West Bengal,4.3
Aarav Rao,10,Chartered Accountant,CFP,West Bengal,4.0
Pari Nambiar,18,Chartered Accountant,"FRM, CFP",West Bengal,4.6
Aarav Joshi,2,Chartered Accountant,"CFP, SEBI RIA",West Bengal,4.8
Sai Iyer,30,Investment Advisor,"CFP, SEBI RIA",West Bengal,4.7
Pari Reddy,10,Financial Planner,CFA,West Bengal,3.0
Vihaan Verma,10,Financial Planner,CPA,West Bengal,3.7
Arjun Bansal,4,Tax Consultant,CFA,West Bengal,4.7
Aadhya Iyer,6,Financial Planner,CFP,West Bengal,4.3
Pari Gupta,13,Investment Advisor,"CFP, CA",West Bengal,4.6
Myra Mehta,8,Chartered Accountant,"CA, CFP",West Bengal,4.4
Avni Saxena,14,Chartered Accountant,CA,West Bengal,3.7
Krishna Reddy,5,Investment Advisor,CA,West Bengal,3.6
Kiara Malhotra,7,Financial Planner,CFA,West Bengal,4.3
Myra Iyer,26,Wealth Manager,"CFP, FRM",West Bengal,3.4
Arjun Patel,19,Tax Consultant,CPA,West Bengal,4.5
Avni Nambiar,11,Investment Advisor,"SEBI RIA, CPA",Andaman and Nicobar Islands,4.8
Ayaan Mehta,22,Chartered Accountant,"FRM, CFP",Andaman and Nicobar Islands,5.0
Aarohi Nambiar,28,Financial Planner,CFP,Andaman and Nicobar Islands,3.9
Myra Tiwari,2,Financial Planner,CFA,Andaman and Nicobar Islands,3.5
Pari Mehta,23,Investment Advisor,"CA, SEBI RIA",Andaman and Nicobar Islands,4.7
Sai Rao,16,Chartered Accountant,CA,Andaman and Nicobar Islands,3.7
Vihaan Malhotra,17,Chartered Accountant,"SEBI RIA, CA",Andaman and Nicobar Islands,4.6
Diya Nambiar,9,Wealth Manager,FRM,Andaman and Nicobar Islands,3.5
Meera Mehta,11,Investment Advisor,CFP,Andaman and Nicobar Islands,3.7
Arjun Gupta,26,Chartered Accountant,"CFP, CFA",Andaman and Nicobar Islands,3.9
Saanvi Joshi,5,Investment Advisor,CFA,Andaman and Nicobar Islands,3.6
Aadhya Nair,5,Chartered Accountant,CPA,Andaman and Nicobar Islands,3.8
Aarohi Kapoor,25,Chartered Accountant,"CFA, CA",Andaman and Nicobar Islands,4.3
Aarohi Tiwari,15,Tax Consultant,CFA,Andaman and Nicobar Islands,4.3
Sai Sharma,11,Investment Advisor,FRM,Andaman and Nicobar Islands,3.8
Reyansh Rao,23,Financial Planner,"CA, CFA",Andaman and Nicobar Islands,3.2
Meera Kapoor,6,Investment Advisor,"SEBI RIA, FRM",Andaman and Nicobar Islands,3.5
Pari Joshi,4,Tax Consultant,"CPA, CA",Andaman and Nicobar Islands,4.1
Myra Saxena,4,Financial Planner,CFP,Andaman and Nicobar Islands,4.3
Arjun Tiwari,22,Financial Planner,"CPA, CFA",Andaman and Nicobar Islands,3.5
Pari Iyer,11,Wealth Manager,CFP,Andaman and Nicobar Islands,4.6
Anaya Sharma,24,Financial Planner,"SEBI RIA, CPA",Andaman and Nicobar Islands,4.1
Ishaan Rao,29,Wealth Manager,"CFA, CPA",Andaman and Nicobar Islands,4.3
Meera Kulkarni,28,Tax Consultant,"CFA, CA",Andaman and Nicobar Islands,3.9
Krishna Joshi,23,Chartered Accountant,CFA,Andaman and Nicobar Islands,4.3
Anaya Kulkarni,12,Investment Advisor,"CFA, CFP",Andaman and Nicobar Islands,5.0
Ishaan Agarwal,21,Chartered Accountant,CA,Andaman and Nicobar Islands,4.9
Anaya Tiwari,5,Wealth Manager,"CA, CFP",Andaman and Nicobar Islands,4.1
Anaya Agarwal,13,Chartered Accountant,"CFP, FRM",Andaman and Nicobar Islands,4.8
Anaya Bansal,18,Tax Consultant,CFP,Andaman and Nicobar Islands,3.6
Krishna Sharma,20,Investment Advisor,CFP,Chandigarh,4.8
Pari Patel,15,Wealth Manager,"CPA, CFA",Chandigarh,4.3
Aadhya Mehta,28,Financial Planner,"CPA, CFA",Chandigarh,4.0
Myra Kulkarni,19,Investment Advisor,CFP,Chandigarh,3.2
Anaya Saxena,2,Tax Consultant,"FRM, CFA",Chandigarh,4.6
Diya Gupta,13,Investment Advisor,"FRM, CA",Chandigarh,3.8
Avni Kulkarni,11,Investment Advisor,"FRM, SEBI RIA",Chandigarh,3.0
Aarav Kulkarni,23,Financial Planner,FRM,Chandigarh,3.5
Pari Kapoor,5,Tax Consultant,"CA, CFP",Chandigarh,4.2
Ayaan Nair,16,Wealth Manager,FRM,Chandigarh,4.0
Aarohi Sharma,8,Wealth Manager,CFA,Chandigarh,4.9
Myra Sharma,11,Investment Advisor,"CA, CPA",Chandigarh,4.2
Myra Nambiar,23,Wealth Manager,CA,Chandigarh,4.3
Saanvi Nair,12,Tax Consultant,CA,Chandigarh,3.3
Krishna Bansal,30,Tax Consultant,CFP,Chandigarh,3.2
Avni Verma,22,Financial Planner,CA,Chandigarh,3.1
Avni Rao,3,Investment Advisor,CFP,Chandigarh,4.0
Reyansh Mehta,6,Tax Consultant,SEBI RIA,Chandigarh,4.0
Pari Nair,2,Tax Consultant,"FRM, SEBI RIA",Chandigarh,3.5
Sai Saxena,20,Tax Consultant,CFA,Chandigarh,3.3
Arjun Reddy,14,Chartered Accountant,"FRM, CFP",Chandigarh,4.1
Vihaan Saxena,24,Tax Consultant,SEBI RIA,Chandigarh,3.2
Saanvi Malhotra,1,Investment Advisor,"CFP, SEBI RIA",Chandigarh,4.8
Avni Kapoor,29,Wealth Manager,CFP,Chandigarh,4.8
Anaya Nair,19,Financial Planner,CA,Chandigarh,3.6
Aarohi Patel,10,Wealth Manager,"CA, CFA",Chandigarh,4.6
Vihaan Tiwari,1,Wealth Manager,FRM,Chandigarh,4.9
Vihaan Kapoor,28,Wealth Manager,"CFA, FRM",Chandigarh,3.6
Saanvi Rao,19,Financial Planner,CA,Chandigarh,4.2
Saanvi Tiwari,3,Wealth Manager,CFA,Chandigarh,3.3
Ishaan Malhotra,28,Investment Advisor,CPA,Dadra and Nagar Haveli and Daman and Diu,4.6
Krishna Gupta,17,Investment Advisor,CFA,Dadra and Nagar Haveli and Daman and Diu,3.7
Meera Saxena,29,Investment Advisor,"CFP, SEBI RIA",Dadra and Nagar Haveli and Daman and Diu,5.0
Anaya Nambiar,11,Chartered Accountant,CFP,Dadra and Nagar Haveli and Daman and Diu,3.6
Avni Iyer,20,Tax Consultant,"CPA, CA",Dadra and Nagar Haveli and Daman and Diu,3.8
Saanvi Kulkarni,2,Wealth Manager,SEBI RIA,Dadra and Nagar Haveli and Daman and Diu,4.4
Pari Tiwari,10,Investment Advisor,CPA,Dadra and Nagar Haveli and Daman and Diu,3.3
Ayaan Malhotra,14,Investment Advisor,CFP,Dadra and Nagar Haveli and Daman and Diu,3.2
Vivaan Joshi,15,Tax Consultant,"CPA, CFP",Dadra and Nagar Haveli and Daman and Diu,3.2
Diya Rao,23,Tax Consultant,SEBI RIA,Dadra and Nagar Haveli and Daman and Diu,4.1
Aadhya Patel,13,Chartered Accountant,CFA,Dadra and Nagar Haveli and Daman and Diu,3.5
Kiara Nair,28,Chartered Accountant,"CFP, CA",Dadra and Nagar Haveli and Daman and Diu,3.1
Diya Malhotra,13,Tax Consultant,CA,Dadra and Nagar Haveli and Daman and Diu,4.0
Aditya Patel,5,Financial Planner,SEBI RIA,Dadra and Nagar Haveli and Daman and Diu,3.1
Meera Iyer,15,Financial Planner,CFA,Dadra and Nagar Haveli and Daman and Diu,4.2
Myra Desai,19,Investment Advisor,"FRM, CA",Dadra and Nagar Haveli and Daman and Diu,4.0
Sai Mehta,11,Chartered Accountant,FRM,Dadra and Nagar Haveli and Daman and Diu,3.1
Aadhya Tiwari,9,Investment Advisor,CFP,Dadra and Nagar Haveli and Daman and Diu,4.6
Meera Rao,7,Wealth Manager,CA,Dadra and Nagar Haveli and Daman and Diu,4.2
Aarohi Iyer,14,Wealth Manager,"CPA, SEBI RIA",Dadra and Nagar Haveli and Daman and Diu,4.7
Ayaan Desai,25,Chartered Accountant,"CA, CPA",Dadra and Nagar Haveli and Daman and Diu,3.4
Reyansh Agarwal,10,Financial Planner,"CA, CFA",Dadra and Nagar Haveli and Daman and Diu,3.4
Arjun Desai,16,Chartered Accountant,CFP,Dadra and Nagar Haveli and Daman and Diu,3.1
Arjun Kapoor,27,Wealth Manager,"CPA, CFP",Dadra and Nagar Haveli and Daman and Diu,3.7
Ayaan Iyer,21,Investment Advisor,"CFP, CA",Dadra and Nagar Haveli and Daman and Diu,4.3
Vihaan Patel,3,Tax Consultant,"SEBI RIA, CPA",Dadra and Nagar Haveli and Daman and Diu,3.5
Aditya Gupta,14,Wealth Manager,"SEBI RIA, CFP",Dadra and Nagar Haveli and Daman and Diu,3.3
Krishna Chowdhury,15,Chartered Accountant,"CFA, CPA",Dadra and Nagar Haveli and Daman and Diu,4.6
Pari Agarwal,30,Tax Consultant,CFP,Dadra and Nagar Haveli and Daman and Diu,3.9
Avni Patel,19,Financial Planner,"CPA, CA",Dadra and Nagar Haveli and Daman and Diu,3.1
Ayaan Tiwari,6,Wealth Manager,"CFA, SEBI RIA",Delhi,3.0
Saanvi Kapoor,24,Chartered Accountant,CFP,Delhi,4.9
Aarohi Desai,18,Wealth Manager,SEBI RIA,Delhi,3.4
Sai Patel,1,Investment Advisor,"SEBI RIA, FRM",Delhi,4.7
Myra Malhotra,11,Tax Consultant,CFA,Delhi,4.9
Meera Patel,1,Investment Advisor,"CFA, SEBI RIA",Delhi,4.2
Aadhya Joshi,16,Chartered Accountant,SEBI RIA,Delhi,4.2
Reyansh Sharma,1,Wealth Manager,CPA,Delhi,4.3
Diya Chowdhury,18,Wealth Manager,"SEBI RIA, CA",Delhi,3.5
Diya Patel,30,Investment Advisor,"FRM, CFA",Delhi,3.8
Meera Verma,15,Investment Advisor,"FRM, CFA",Delhi,4.6
Diya Iyer,10,Wealth Manager,CFP,Delhi,5.0
Saanvi Iyer,10,Wealth Manager,CA,Delhi,4.9
Aarohi Nair,2,Tax Consultant,CPA,Delhi,3.3
Aarav Reddy,5,Tax Consultant,CPA,Delhi,3.3
Avni Joshi,21,Tax Consultant,SEBI RIA,Delhi,3.2
Avni Chowdhury,10,Tax Consultant,"SEBI RIA, CFA",Delhi,4.5
Diya Verma,21,Financial Planner,CPA,Delhi,3.5
Ayaan Reddy,16,Investment Advisor,"CPA, CFP",Delhi,3.3
Aadhya Malhotra,7,Chartered Accountant,"CPA, CFA",Delhi,3.7
Saanvi Nambiar,5,Investment Advisor,"SEBI RIA, CFA",Delhi,3.1
Sai Joshi,13,Investment Advisor,CFA,Delhi,4.2
Vihaan Nair,20,Wealth Manager,CA,Delhi,3.2
Aadhya Verma,1,Investment Advisor,CPA,Delhi,3.8
Anaya Gupta,27,Investment Advisor,CFP,Delhi,4.9
Aadhya Kulkarni,25,Tax Consultant,SEBI RIA,Delhi,3.8
Saanvi Verma,13,Financial Planner,CFP,Delhi,4.0
Vihaan Bansal,28,Wealth Manager,"CA, CPA",Delhi,4.4
Saanvi Mehta,14,Tax Consultant,CPA,Delhi,3.6
Arjun Chowdhury,24,Chartered Accountant,CFP,Delhi,4.2
Vivaan Desai,15,Financial Planner,"SEBI RIA, CPA",Jammu and Kashmir,3.8
Krishna Agarwal,1,Wealth Manager,SEBI RIA,Jammu and Kashmir,4.0
Krishna Patel,23,Chartered Accountant,"CPA, CFP",Jammu and Kashmir,4.3
Ayaan Patel,27,Investment Advisor,"SEBI RIA, CFA",Jammu and Kashmir,4.7
Krishna Kulkarni,17,Financial Planner,"CPA, FRM",Jammu and Kashmir,4.3
Avni Reddy,11,Investment Advisor,"FRM, CA",Jammu and Kashmir,3.1
Aarohi Joshi,13,Investment Advisor,CFP,Jammu and Kashmir,3.3
Sai Kapoor,12,Chartered Accountant,SEBI RIA,Jammu and Kashmir,3.1
Reyansh Nambiar,5,Investment Advisor,"CFP, FRM",Jammu and Kashmir,4.3
Diya Bansal,10,Financial Planner,"CPA, CA",Jammu and Kashmir,3.8
Ayaan Nambiar,21,Wealth Manager,"CA, CFP",Jammu and Kashmir,4.2
Reyansh Desai,25,Financial Planner,"CFA, FRM",Jammu and Kashmir,3.1
Arjun Rao,6,Financial Planner,"CA, FRM",Jammu and Kashmir,4.9
Aditya Saxena,21,Financial Planner,"CA, CPA",Jammu and Kashmir,4.7
Kiara Kulkarni,2,Investment Advisor,"CFP, CA",Jammu and Kashmir,3.8
Anaya Mehta,14,Financial Planner,CA,Jammu and Kashmir,4.4
Kiara Reddy,9,Chartered Accountant,"CA, FRM",Jammu and Kashmir,3.1
Myra Reddy,5,Investment Advisor,SEBI RIA,Jammu and Kashmir,4.1
Arjun Agarwal,4,Financial Planner,CFP,Jammu and Kashmir,3.2
Anaya Desai,26,Chartered Accountant,CFP,Jammu and Kashmir,3.5
Reyansh Gupta,15,Investment Advisor,"SEBI RIA, CFP",Jammu and Kashmir,3.7
Ishaan Chowdhury,8,Wealth Manager,CFP,Jammu and Kashmir,4.4
Aditya Mehta,24,Chartered Accountant,CFA,Jammu and Kashmir,4.7
Diya Nair,18,Tax Consultant,CFA,Jammu and Kashmir,3.7
Kiara Desai,7,Wealth Manager,CA,Jammu and Kashmir,4.6
Vivaan Agarwal,5,Investment Advisor,"CFA, CPA",Jammu and Kashmir,3.6
Sai Nair,9,Tax Consultant,"FRM, CPA",Jammu and Kashmir,4.7
Vivaan Sharma,16,Investment Advisor,"CFA, CA",Jammu and Kashmir,3.3
Vivaan Tiwari,23,Tax Consultant,"CPA, CA",Jammu and Kashmir,4.4
Krishna Mehta,26,Chartered Accountant,"CFP, CA",Jammu and Kashmir,3.5
Vivaan Patel,6,Wealth Manager,SEBI RIA,Ladakh,3.6
Vivaan Reddy,2,Investment Advisor,FRM,Ladakh,4.3
Saanvi Sharma,8,Financial Planner,CFA,Ladakh,3.3
Arjun Sharma,20,Tax Consultant,"CPA, CFP",Ladakh,4.8
Sai Tiwari,9,Financial Planner,"SEBI RIA, CFP",Ladakh,3.2
Meera Reddy,13,Investment Advisor,CFP,Ladakh,5.0
Diya Mehta,12,Financial Planner,CFA,Ladakh,4.2
Anaya Reddy,15,Chartered Accountant,"CFA, FRM",Ladakh,3.5
Ishaan Nair,27,Financial Planner,"FRM, SEBI RIA",Ladakh,3.0
Meera Desai,9,Tax Consultant,"SEBI RIA, FRM",Ladakh,4.4
Myra Rao,21,Investment Advisor,"FRM, CPA",Ladakh,3.8
Vivaan Gupta,2,Chartered Accountant,SEBI RIA,Ladakh,3.1
Sai Verma,17,Tax Consultant,"SEBI RIA, CA",Ladakh,3.7
Aadhya Reddy,6,Investment Advisor,"CFP, SEBI RIA",Ladakh,4.1
Vihaan Reddy,10,Investment Advisor,CPA,Ladakh,4.7
Diya Reddy,20,Wealth Manager,SEBI RIA,Ladakh,4.0
Ayaan Rao,23,Wealth Manager,"CA, SEBI RIA",Ladakh,3.3
Pari Saxena,10,Tax Consultant,"CPA, CA",Ladakh,4.4
Saanvi Gupta,12,Investment Advisor,FRM,Ladakh,3.0
Vihaan Mehta,23,Investment Advisor,SEBI RIA,Ladakh,4.8
Kiara Mehta,4,Financial Planner,"SEBI RIA, FRM",Ladakh,4.8
Kiara Sharma,9,Tax Consultant,CA,Ladakh,3.0
Myra Joshi,11,Investment Advisor,FRM,Ladakh,3.2
Kiara Iyer,14,Tax Consultant,FRM,Ladakh,4.5
Diya Desai,15,Tax Consultant,"CA, FRM",Ladakh,4.3
Sai Kulkarni,22,Wealth Manager,"FRM, CFP",Ladakh,4.6
Sai Desai,20,Tax Consultant,CFP,Ladakh,4.7
Vihaan Agarwal,13,Investment Advisor,SEBI RIA,Ladakh,4.3
Aditya Chowdhury,13,Tax Consultant,FRM,Ladakh,4.8
Myra Verma,17,Financial Planner,CA,Ladakh,4.8
Aadhya Rao,6,Wealth Manager,"SEBI RIA, CFA",Lakshadweep,3.5
Saanvi Patel,23,Tax Consultant,"CPA, CFP",Lakshadweep,4.0
Aditya Bansal,9,Tax Consultant,CA,Lakshadweep,3.4
Pari Desai,19,Financial Planner,CFA,Lakshadweep,3.5
Krishna Rao,12,Tax Consultant,CFA,Lakshadweep,4.0
Kiara Rao,30,Wealth Manager,"CFA, FRM",Lakshadweep,4.3
Aditya Desai,3,Chartered Accountant,"CFP, FRM",Lakshadweep,4.0
Ayaan Saxena,5,Financial Planner,FRM,Lakshadweep,4.9
Aarav Patel,16,Chartered Accountant,"CFA, SEBI RIA",Lakshadweep,4.5
Avni Desai,7,Financial Planner,"CPA, CFA",Lakshadweep,3.3
Krishna Verma,26,Financial Planner,"CPA, CFP",Lakshadweep,3.1
Aarohi Verma,28,Financial Planner,"SEBI RIA, FRM",Lakshadweep,4.8
Aadhya Kapoor,8,Chartered Accountant,SEBI RIA,Lakshadweep,4.4
Reyansh Iyer,4,Chartered Accountant,"CFP, SEBI RIA",Lakshadweep,3.8
Vihaan Gupta,2,Financial Planner,CPA,Lakshadweep,4.8
Vihaan Sharma,29,Investment Advisor,CA,Lakshadweep,3.2
Aarav Bansal,20,Financial Planner,"CPA, SEBI RIA",Lakshadweep,4.6
Meera Chowdhury,27,Wealth Manager,CFP,Lakshadweep,4.5
Meera Bansal,14,Investment Advisor,CFP,Lakshadweep,3.3
Meera Tiwari,5,Investment Advisor,CFP,Lakshadweep,4.3
Arjun Nambiar,9,Chartered Accountant,"FRM, SEBI RIA",Lakshadweep,3.6
Vivaan Mehta,6,Chartered Accountant,"CFP, FRM",Lakshadweep,3.7
Saanvi Chowdhury,25,Chartered Accountant,"CA, SEBI RIA",Lakshadweep,3.3
Ishaan Verma,7,Financial Planner,CPA,Lakshadweep,3.5
Arjun Kulkarni,18,Investment Advisor,"CPA, CFA",Lakshadweep,4.4
Pari Sharma,30,Wealth Manager,"SEBI RIA, CPA",Lakshadweep,3.2
Saanvi Reddy,10,Chartered Accountant,"CA, FRM",Lakshadweep,3.3
Aditya Joshi,13,Wealth Manager,FRM,Lakshadweep,3.9
Vivaan Nair,28,Investment Advisor,"CA, FRM",Lakshadweep,4.3
Diya Tiwari,15,Tax Consultant,FRM,Lakshadweep,4.7
Saanvi Saxena,22,Investment Advisor,"FRM, CA",Puducherry,4.2
Ishaan Joshi,10,Financial Planner,"CFA, CA",Puducherry,3.1
Aditya Sharma,30,Financial Planner,SEBI RIA,Puducherry,4.5
Kiara Nambiar,7,Chartered Accountant,"CA, CFA",Puducherry,4.1
Aditya Nair,23,Investment Advisor,"CA, CFP",Puducherry,3.1
Anaya Malhotra,9,Investment Advisor,"CFP, CPA",Puducherry,4.6
Aditya Nambiar,9,Chartered Accountant,"CPA, SEBI RIA",Puducherry,4.7
Ishaan Saxena,25,Tax Consultant,SEBI RIA,Puducherry,4.3
Avni Tiwari,23,Tax Consultant,"CA, SEBI RIA",Puducherry,3.9
Meera Nambiar,22,Financial Planner,"CA, CFA",Puducherry,3.5
Meera Agarwal,14,Tax Consultant,CA,Puducherry,3.2
Arjun Malhotra,30,Wealth Manager,FRM,Puducherry,3.1
Pari Verma,14,Investment Advisor,FRM,Puducherry,4.4
Aditya Rao,22,Wealth Manager,"SEBI RIA, CA",Puducherry,4.0
Diya Agarwal,27,Wealth Manager,"FRM, CA",Puducherry,3.8
Aarohi Agarwal,7,Financial Planner,"SEBI RIA, CFA",Puducherry,4.1
Vivaan Saxena,2,Investment Advisor,"CFA, CA",Puducherry,4.7
Myra Patel,13,Tax Consultant,"SEBI RIA, CA",Puducherry,3.1
Arjun Iyer,9,Wealth Manager,CFP,Puducherry,4.9
Vivaan Kapoor,2,Investment Advisor,"CPA, SEBI RIA",Puducherry,3.6
Krishna Saxena,21,Tax Consultant,"CPA, CFA",Puducherry,3.8
Aarav Saxena,6,Tax Consultant,"CPA, CFA",Puducherry,4.8
Vivaan Bansal,18,Financial Planner,CFP,Puducherry,4.5
Aarav Verma,8,Wealth Manager,SEBI RIA,Puducherry,3.9
Kiara Bansal,20,Tax Consultant,"CA, CFP",Puducherry,4.4
Sai Chowdhury,12,Financial Planner,"CFP, CA",Puducherry,4.1
Kiara Chowdhury,16,Investment Advisor,CA,Puducherry,3.7
Aarav Gupta,18,Chartered Accountant,CFA,Puducherry,4.3
Reyansh Bansal,6,Financial Planner,CFP,Puducherry,4.9
Kiara Tiwari,19,Chartered Accountant,CPA,Puducherry,4.1
